block_number,type,value
13252333,0x16c03c2fe01ac285473b0d10ba5c5de59ede582fcac27a866b5827415fe44b03,0x000000000000000000000000961ae24a1ceba861d1fdf723794f6024dc5485cf
13262318,0x16c03c2fe01ac285473b0d10ba5c5de59ede582fcac27a866b5827415fe44b03,0x000000000000000000000000961ae24a1ceba861d1fdf723794f6024dc5485cf
13262831,0x16c03c2fe01ac285473b0d10ba5c5de59ede582fcac27a866b5827415fe44b03,0x000000000000000000000000961ae24a1ceba861d1fdf723794f6024dc5485cf
13263393,0x16c03c2fe01ac285473b0d10ba5c5de59ede582fcac27a866b5827415fe44b03,0x000000000000000000000000961ae24a1ceba861d1fdf723794f6024dc5485cf
13268172,0x22d324652c93739755cf4581508b60875ebdd78c20c0cff5cf8e23452b299631,0x00000000000000000000000027239549dd40e1d60f5b80b0c4196923745b1fd2
13276335,0x16c03c2fe01ac285473b0d10ba5c5de59ede582fcac27a866b5827415fe44b03,0x000000000000000000000000961ae24a1ceba861d1fdf723794f6024dc5485cf
13280964,0x22d324652c93739755cf4581508b60875ebdd78c20c0cff5cf8e23452b299631,0x00000000000000000000000027239549dd40e1d60f5b80b0c4196923745b1fd2
13283589,0x16c03c2fe01ac285473b0d10ba5c5de59ede582fcac27a866b5827415fe44b03,0x000000000000000000000000961ae24a1ceba861d1fdf723794f6024dc5485cf
13286776,0x22d324652c93739755cf4581508b60875ebdd78c20c0cff5cf8e23452b299631,0x00000000000000000000000027239549dd40e1d60f5b80b0c4196923745b1fd2
13308591,0x16c03c2fe01ac285473b0d10ba5c5de59ede582fcac27a866b5827415fe44b03,0x000000000000000000000000961ae24a1ceba861d1fdf723794f6024dc5485cf
13309528,0x16c03c2fe01ac285473b0d10ba5c5de59ede582fcac27a866b5827415fe44b03,0x000000000000000000000000961ae24a1ceba861d1fdf723794f6024dc5485cf
13315121,0x16c03c2fe01ac285473b0d10ba5c5de59ede582fcac27a866b5827415fe44b03,0x000000000000000000000000961ae24a1ceba861d1fdf723794f6024dc5485cf
13316410,0x16c03c2fe01ac285473b0d10ba5c5de59ede582fcac27a866b5827415fe44b03,0x000000000000000000000000961ae24a1ceba861d1fdf723794f6024dc5485cf
13319769,0x16c03c2fe01ac285473b0d10ba5c5de59ede582fcac27a866b5827415fe44b03,0x000000000000000000000000961ae24a1ceba861d1fdf723794f6024dc5485cf
13321121,0x16c03c2fe01ac285473b0d10ba5c5de59ede582fcac27a866b5827415fe44b03,0x000000000000000000000000961ae24a1ceba861d1fdf723794f6024dc5485cf
13365855,0x16c03c2fe01ac285473b0d10ba5c5de59ede582fcac27a866b5827415fe44b03,0x000000000000000000000000961ae24a1ceba861d1fdf723794f6024dc5485cf
13372676,0x16c03c2fe01ac285473b0d10ba5c5de59ede582fcac27a866b5827415fe44b03,0x000000000000000000000000961ae24a1ceba861d1fdf723794f6024dc5485cf
13378924,0x16c03c2fe01ac285473b0d10ba5c5de59ede582fcac27a866b5827415fe44b03,0x000000000000000000000000961ae24a1ceba861d1fdf723794f6024dc5485cf
13378947,0x16c03c2fe01ac285473b0d10ba5c5de59ede582fcac27a866b5827415fe44b03,0x000000000000000000000000961ae24a1ceba861d1fdf723794f6024dc5485cf
13378962,0x16c03c2fe01ac285473b0d10ba5c5de59ede582fcac27a866b5827415fe44b03,0x000000000000000000000000961ae24a1ceba861d1fdf723794f6024dc5485cf
13379243,0x16c03c2fe01ac285473b0d10ba5c5de59ede582fcac27a866b5827415fe44b03,0x000000000000000000000000961ae24a1ceba861d1fdf723794f6024dc5485cf
13411548,0x22d324652c93739755cf4581508b60875ebdd78c20c0cff5cf8e23452b299631,0x0000000000000000000000007a74fb6bd364b9b5ef69605a3d28327da8087aa0
13456837,0x22d324652c93739755cf4581508b60875ebdd78c20c0cff5cf8e23452b299631,0x00000000000000000000000064f65e10f1c3cd7e920a6b34b83daf2f100f15e6
13471518,0x22d324652c93739755cf4581508b60875ebdd78c20c0cff5cf8e23452b299631,0x00000000000000000000000027239549dd40e1d60f5b80b0c4196923745b1fd2
13478355,0x22d324652c93739755cf4581508b60875ebdd78c20c0cff5cf8e23452b299631,0x00000000000000000000000027239549dd40e1d60f5b80b0c4196923745b1fd2
13488415,0x16c03c2fe01ac285473b0d10ba5c5de59ede582fcac27a866b5827415fe44b03,0x000000000000000000000000961ae24a1ceba861d1fdf723794f6024dc5485cf
13500091,0x16c03c2fe01ac285473b0d10ba5c5de59ede582fcac27a866b5827415fe44b03,0x000000000000000000000000961ae24a1ceba861d1fdf723794f6024dc5485cf
13500163,0x16c03c2fe01ac285473b0d10ba5c5de59ede582fcac27a866b5827415fe44b03,0x000000000000000000000000961ae24a1ceba861d1fdf723794f6024dc5485cf
13500189,0x16c03c2fe01ac285473b0d10ba5c5de59ede582fcac27a866b5827415fe44b03,0x000000000000000000000000961ae24a1ceba861d1fdf723794f6024dc5485cf
13500196,0x16c03c2fe01ac285473b0d10ba5c5de59ede582fcac27a866b5827415fe44b03,0x000000000000000000000000961ae24a1ceba861d1fdf723794f6024dc5485cf
13500210,0x16c03c2fe01ac285473b0d10ba5c5de59ede582fcac27a866b5827415fe44b03,0x000000000000000000000000961ae24a1ceba861d1fdf723794f6024dc5485cf
