https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DAI,Volume USD
1678525200000,2023-03-11 09:00:00,DAI/USD,0.978,0.999,0.97799,0.995,13431.304715,13364.148191425
1678521600000,2023-03-11 08:00:00,DAI/USD,0.95998,0.978,0.90001,0.978,57404.947915,56142.039060869996
1678518000000,2023-03-11 07:00:00,DAI/USD,0.91,0.96627,0.89166,0.95998,4629.696036,4444.4156006392805
1678514400000,2023-03-11 06:00:00,DAI/USD,0.98521,0.98521,0.91,0.91,24692.412374,22470.09526034
1678510800000,2023-03-11 05:00:00,DAI/USD,0.96,0.98521,0.93,0.98521,101755.672117,100250.70572638957
1678507200000,2023-03-11 04:00:00,DAI/USD,0.97186,0.97186,0.93002,0.96,55586.403546,53362.94740416
1678503600000,2023-03-11 03:00:00,DAI/USD,0.99842,0.99842,0.97125,0.97186,11302.355423,10984.307141396781
1678500000000,2023-03-11 02:00:00,DAI/USD,0.98955,0.99842,0.98324,0.99842,5088.435126,5080.39539850092
1678496400000,2023-03-11 01:00:00,DAI/USD,0.99241,0.99241,0.95003,0.98955,207082.780613,204918.76555559417
1678492800000,2023-03-11 00:00:00,DAI/USD,0.99748,0.99748,0.95002,0.99241,116075.0803,115194.070440523
1678489200000,2023-03-10 23:00:00,DAI/USD,0.9961,0.99748,0.9961,0.99748,1340.794092,1337.4152908881601
1678485600000,2023-03-10 22:00:00,DAI/USD,0.9998,0.9998,0.9961,0.9961,64079.167498,63829.258744757804
1678482000000,2023-03-10 21:00:00,DAI/USD,1.00999,1.00999,0.9998,0.9998,32152.11077,32145.680347846
1678478400000,2023-03-10 20:00:00,DAI/USD,1.00999,1.00999,1.00999,1.00999,0.0,0.0
1678474800000,2023-03-10 19:00:00,DAI/USD,1.00999,1.00999,1.00999,1.00999,0.0,0.0
1678471200000,2023-03-10 18:00:00,DAI/USD,1.00113,1.00999,1.00113,1.00999,9266.226525,9358.79612798475
1678467600000,2023-03-10 17:00:00,DAI/USD,0.99997,1.00323,0.99997,1.00113,7.066236,7.07422084668
1678464000000,2023-03-10 16:00:00,DAI/USD,0.99997,0.99997,0.99997,0.99997,0.0,0.0
1678460400000,2023-03-10 15:00:00,DAI/USD,1.00102,1.00223,0.99997,0.99997,1.578812,1.5787646356400002
1678456800000,2023-03-10 14:00:00,DAI/USD,0.9999,1.00102,0.9999,1.00102,1.5031,1.5046331620000002
1678453200000,2023-03-10 13:00:00,DAI/USD,1.00194,1.00206,0.9999,0.9999,53.051402,53.0460968598
1678449600000,2023-03-10 12:00:00,DAI/USD,0.99938,1.00194,0.99938,1.00194,96.340433,96.52733344002002
1678446000000,2023-03-10 11:00:00,DAI/USD,0.9998,1.00067,0.99936,0.99938,505.870355,505.5567153799
1678442400000,2023-03-10 10:00:00,DAI/USD,0.99983,0.99983,0.9998,0.9998,25.902234,25.8970535532
1678438800000,2023-03-10 09:00:00,DAI/USD,0.9998,0.99983,0.9998,0.99983,8.212718,8.21132183794
1678435200000,2023-03-10 08:00:00,DAI/USD,1.00011,1.00011,0.9998,0.9998,9.376878,9.3750026244
1678431600000,2023-03-10 07:00:00,DAI/USD,1.00173,1.00217,1.00011,1.00011,13.798317,13.799834814870001
1678428000000,2023-03-10 06:00:00,DAI/USD,1.00267,1.00267,1.00166,1.00173,1082.9083,1084.781731359
1678424400000,2023-03-10 05:00:00,DAI/USD,1.00267,1.00267,1.00267,1.00267,0.0,0.0
1678420800000,2023-03-10 04:00:00,DAI/USD,1.00147,1.00267,1.00027,1.00267,1160.783012,1163.88230264204
1678417200000,2023-03-10 03:00:00,DAI/USD,1.00147,1.00147,1.00147,1.00147,0.0,0.0
1678413600000,2023-03-10 02:00:00,DAI/USD,1.00242,1.00242,1.00127,1.00147,985.237985,986.6862848379501
1678410000000,2023-03-10 01:00:00,DAI/USD,1.00443,1.00443,1.00156,1.00242,14.906163,14.942235914460001
1678406400000,2023-03-10 00:00:00,DAI/USD,0.99901,1.00443,0.99901,1.00443,7026.889269,7058.01838846167
1678402800000,2023-03-09 23:00:00,DAI/USD,1.00018,1.00018,0.99901,0.99901,64.24973,64.18612276729999
1678399200000,2023-03-09 22:00:00,DAI/USD,0.9993,1.00018,0.99834,1.00018,1960.364318,1960.7171835772401
1678395600000,2023-03-09 21:00:00,DAI/USD,1.00049,1.00049,0.9993,0.9993,1495.352007,1494.3052605951
1678392000000,2023-03-09 20:00:00,DAI/USD,0.99951,1.00072,0.99949,1.00049,40692.370051,40712.30931232499
1678388400000,2023-03-09 19:00:00,DAI/USD,0.99907,0.99951,0.99876,0.99951,1390.202449,1389.5212497999898
1678384800000,2023-03-09 18:00:00,DAI/USD,0.99947,0.99948,0.99907,0.99907,99727.306076,99634.55968134932
1678381200000,2023-03-09 17:00:00,DAI/USD,0.99945,0.99947,0.99945,0.99947,49.88636,49.8599202292
1678377600000,2023-03-09 16:00:00,DAI/USD,0.99947,0.99947,0.99945,0.99945,0.310371,0.31020029595
1678374000000,2023-03-09 15:00:00,DAI/USD,0.99947,0.99947,0.99947,0.99947,0.540472,0.5401855498399999
1678370400000,2023-03-09 14:00:00,DAI/USD,0.99948,0.99948,0.99947,0.99947,100.0,99.947
1678366800000,2023-03-09 13:00:00,DAI/USD,0.99948,0.99948,0.99948,0.99948,0.0,0.0
1678363200000,2023-03-09 12:00:00,DAI/USD,0.99948,0.99948,0.99948,0.99948,0.0,0.0
1678359600000,2023-03-09 11:00:00,DAI/USD,0.99948,0.99948,0.99948,0.99948,1471.560225,1470.795013683
1678356000000,2023-03-09 10:00:00,DAI/USD,0.99948,0.99948,0.99948,0.99948,0.336599,0.33642396852
1678352400000,2023-03-09 09:00:00,DAI/USD,1.0,1.0,0.99948,0.99948,0.245013,0.24488559324
1678348800000,2023-03-09 08:00:00,DAI/USD,0.99949,1.0,0.99948,1.0,500.23786,500.23786
1678345200000,2023-03-09 07:00:00,DAI/USD,0.99947,0.99949,0.99947,0.99949,1.135644,1.13506482156
1678341600000,2023-03-09 06:00:00,DAI/USD,0.99945,0.99947,0.99945,0.99947,4.282641,4.280371200269999
1678338000000,2023-03-09 05:00:00,DAI/USD,0.99945,0.99945,0.99945,0.99945,0.109403,0.10934282834999999
1678334400000,2023-03-09 04:00:00,DAI/USD,1.0,1.0,0.99945,0.99945,6.130689,6.12731712105
1678330800000,2023-03-09 03:00:00,DAI/USD,0.99945,1.0,0.99945,1.0,245.049751,245.049751
1678327200000,2023-03-09 02:00:00,DAI/USD,0.99945,0.99945,0.99945,0.99945,0.0,0.0
1678323600000,2023-03-09 01:00:00,DAI/USD,0.99945,0.99945,0.99944,0.99945,238.160556,238.0295676942
1678320000000,2023-03-09 00:00:00,DAI/USD,0.99942,1.00056,0.99942,0.99945,587.999968,587.6765680176
1678316400000,2023-03-08 23:00:00,DAI/USD,0.99936,1.00077,0.99936,0.99942,365.768166,365.55602046372
1678312800000,2023-03-08 22:00:00,DAI/USD,0.99938,1.00078,0.99934,0.99936,7101.059444,7096.514765955841
1678309200000,2023-03-08 21:00:00,DAI/USD,0.99938,0.99938,0.99938,0.99938,0.0,0.0
1678305600000,2023-03-08 20:00:00,DAI/USD,0.99908,1.00065,0.99908,0.99938,303.883114,303.69470646932
1678302000000,2023-03-08 19:00:00,DAI/USD,0.99921,0.99921,0.99908,0.99908,4.742194,4.73783118152
1678298400000,2023-03-08 18:00:00,DAI/USD,0.99932,0.99932,0.99921,0.99921,254.523017,254.32194381657
1678294800000,2023-03-08 17:00:00,DAI/USD,0.9994,0.9997,0.99932,0.99932,4013.288972,4010.55993549904
1678291200000,2023-03-08 16:00:00,DAI/USD,1.00099,1.00099,0.9994,0.9994,307.547836,307.3633072984
1678287600000,2023-03-08 15:00:00,DAI/USD,0.99944,1.00099,0.99944,1.00099,4406.510933,4410.87337882367
1678284000000,2023-03-08 14:00:00,DAI/USD,0.99963,0.99963,0.99944,0.99944,61.535111,61.50065133784
1678280400000,2023-03-08 13:00:00,DAI/USD,0.99996,1.001,0.99963,0.99963,1290.810988,1290.33338793444
1678276800000,2023-03-08 12:00:00,DAI/USD,1.00192,1.00192,0.99996,0.99996,0.358276,0.35826166895999995
1678273200000,2023-03-08 11:00:00,DAI/USD,0.99907,1.00192,0.99907,1.00192,5309.7063,5319.900936095999
1678269600000,2023-03-08 10:00:00,DAI/USD,0.99945,0.99945,0.99907,0.99907,1002.0,1001.06814
1678266000000,2023-03-08 09:00:00,DAI/USD,0.99945,0.99945,0.99945,0.99945,0.0,0.0
1678262400000,2023-03-08 08:00:00,DAI/USD,0.99945,0.99945,0.99945,0.99945,0.0,0.0
1678258800000,2023-03-08 07:00:00,DAI/USD,0.99947,0.99947,0.99945,0.99945,0.430665,0.43042813425
1678255200000,2023-03-08 06:00:00,DAI/USD,0.99945,0.99947,0.99945,0.99947,1.249914,1.24925154558
1678251600000,2023-03-08 05:00:00,DAI/USD,0.99945,0.99945,0.99945,0.99945,0.0,0.0
1678248000000,2023-03-08 04:00:00,DAI/USD,0.99945,0.99945,0.99945,0.99945,0.0,0.0
1678244400000,2023-03-08 03:00:00,DAI/USD,0.99945,0.99945,0.99945,0.99945,0.0,0.0
1678240800000,2023-03-08 02:00:00,DAI/USD,0.99921,0.99945,0.99921,0.99945,1.199899,1.19923905555
1678237200000,2023-03-08 01:00:00,DAI/USD,0.99963,0.99964,0.99921,0.99921,501.2645,500.868501045
1678233600000,2023-03-08 00:00:00,DAI/USD,0.99963,0.99963,0.99963,0.99963,6755.707074,6753.20746238262
1678230000000,2023-03-07 23:00:00,DAI/USD,0.99963,0.99963,0.99963,0.99963,8000.0,7997.04
1678226400000,2023-03-07 22:00:00,DAI/USD,0.9998,0.9998,0.99963,0.99963,0.14111,0.1410577893
1678222800000,2023-03-07 21:00:00,DAI/USD,1.00195,1.00195,0.9998,0.9998,97.191344,97.1719057312
1678219200000,2023-03-07 20:00:00,DAI/USD,0.9998,1.00195,0.99962,1.00195,1006.359631,1008.3220322804499
1678215600000,2023-03-07 19:00:00,DAI/USD,1.00198,1.00198,0.9998,0.9998,17.461617,17.4581246766
1678212000000,2023-03-07 18:00:00,DAI/USD,0.99997,1.00198,0.99822,1.00198,66361.506914,66492.90269768973
1678208400000,2023-03-07 17:00:00,DAI/USD,0.99916,0.99997,0.99916,0.99997,7841.826124,7841.59086921628
1678204800000,2023-03-07 16:00:00,DAI/USD,0.99963,0.99963,0.99916,0.99916,3800.0,3796.808
1678201200000,2023-03-07 15:00:00,DAI/USD,0.99963,0.99963,0.99963,0.99963,0.0,0.0
1678197600000,2023-03-07 14:00:00,DAI/USD,0.99989,0.99989,0.99963,0.99963,1.223188,1.22273542044
1678194000000,2023-03-07 13:00:00,DAI/USD,0.99903,0.99989,0.99903,0.99989,294.09189,294.05953989209996
1678190400000,2023-03-07 12:00:00,DAI/USD,0.99902,0.99925,0.99902,0.99903,46508.773904,46463.66039331312
1678186800000,2023-03-07 11:00:00,DAI/USD,0.99903,0.99903,0.99902,0.99902,0.717393,0.71668995486
1678183200000,2023-03-07 10:00:00,DAI/USD,0.99902,0.99903,0.99902,0.99903,12.052289,12.04059827967
1678179600000,2023-03-07 09:00:00,DAI/USD,0.99902,0.99902,0.99902,0.99902,0.578897,0.57832968094
1678176000000,2023-03-07 08:00:00,DAI/USD,0.99902,0.99902,0.99902,0.99902,0.0,0.0
1678172400000,2023-03-07 07:00:00,DAI/USD,0.99902,0.99902,0.99902,0.99902,0.513809,0.5133054671799999
1678168800000,2023-03-07 06:00:00,DAI/USD,0.99932,0.99932,0.99902,0.99902,9964.895653,9955.13005526006
1678165200000,2023-03-07 05:00:00,DAI/USD,0.99935,0.99935,0.99902,0.99932,10499.755799,10492.61596505668
1678161600000,2023-03-07 04:00:00,DAI/USD,0.99935,0.99935,0.99935,0.99935,0.0,0.0
1678158000000,2023-03-07 03:00:00,DAI/USD,0.99935,0.99935,0.99935,0.99935,0.0,0.0
