https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BAT,Volume USD
1643691600000,2022-02-01 05:00:00,BAT/USD,0.85252,0.85291,0.84783,0.84922,1621.15226,1376.7149222372
1643688000000,2022-02-01 04:00:00,BAT/USD,0.85285,0.85656,0.84534,0.85252,1887.183364,1608.8615614772798
1643684400000,2022-02-01 03:00:00,BAT/USD,0.84744,0.85519,0.84472,0.85285,12048.906055,10275.909529006749
1643680800000,2022-02-01 02:00:00,BAT/USD,0.84532,0.84963,0.84429,0.84744,1788.960824,1516.03696069056
1643677200000,2022-02-01 01:00:00,BAT/USD,0.84861,0.85122,0.84532,0.84532,1496.316225,1264.866031317
1643673600000,2022-02-01 00:00:00,BAT/USD,0.85239,0.85501,0.84484,0.84861,2064.384257,1751.8571243327701
1643670000000,2022-01-31 23:00:00,BAT/USD,0.8431,0.85424,0.8431,0.85239,584.522838,498.24142188281996
1643666400000,2022-01-31 22:00:00,BAT/USD,0.84879,0.85115,0.8431,0.8431,4367.909813,3682.5847633403
1643662800000,2022-01-31 21:00:00,BAT/USD,0.85167,0.85346,0.84855,0.84879,1435.279586,1218.25095980094
1643659200000,2022-01-31 20:00:00,BAT/USD,0.84518,0.85167,0.84411,0.85167,546.414712,465.36501776904004
1643655600000,2022-01-31 19:00:00,BAT/USD,0.85047,0.85237,0.84518,0.84518,712.875909,602.50846076862
1643652000000,2022-01-31 18:00:00,BAT/USD,0.85102,0.85178,0.84526,0.85047,2625.461272,2232.87604799784
1643648400000,2022-01-31 17:00:00,BAT/USD,0.85249,0.85439,0.84606,0.85102,14126.263304,12021.73259697008
1643644800000,2022-01-31 16:00:00,BAT/USD,0.84181,0.85488,0.84181,0.85249,1822.756683,1553.88184469067
1643641200000,2022-01-31 15:00:00,BAT/USD,0.83697,0.8506,0.83697,0.84181,651.342214,548.30638916734
1643637600000,2022-01-31 14:00:00,BAT/USD,0.8306,0.83697,0.827,0.83697,2581.795945,2160.88575208665
1643634000000,2022-01-31 13:00:00,BAT/USD,0.83047,0.83156,0.82365,0.8306,20.374588,16.9231327928
1643630400000,2022-01-31 12:00:00,BAT/USD,0.82075,0.8336,0.82075,0.83047,42.450214,35.25362922058
1643626800000,2022-01-31 11:00:00,BAT/USD,0.82583,0.82848,0.82075,0.82075,254.675411,209.02484357825
1643623200000,2022-01-31 10:00:00,BAT/USD,0.82542,0.82781,0.82378,0.82583,207.855195,171.65305568685
1643619600000,2022-01-31 09:00:00,BAT/USD,0.8222,0.82542,0.81832,0.82542,6.616746,5.46159448332
1643616000000,2022-01-31 08:00:00,BAT/USD,0.81777,0.82405,0.81579,0.8222,1050.554423,863.7658465906001
1643612400000,2022-01-31 07:00:00,BAT/USD,0.82065,0.82245,0.81588,0.81777,75.20556,61.5008508012
1643608800000,2022-01-31 06:00:00,BAT/USD,0.82458,0.82618,0.81932,0.82065,195.275368,160.2527307492
