https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume YFI,Volume USD
1605402000000,2020-11-15 01:00:00,YFI/USD,17749.77,17749.77,17507.46,17523.53,0.359615,6301.7242409499995
1605398400000,2020-11-15 00:00:00,YFI/USD,17223.01,17787.95,17223.01,17749.77,0.775391,13763.011910070001
1605394800000,2020-11-14 23:00:00,YFI/USD,17354.19,17405.92,17223.01,17223.01,0.155282,2674.42343882
1605391200000,2020-11-14 22:00:00,YFI/USD,17285.3,17432.14,17201.66,17354.19,0.753392,13074.507912479998
1605387600000,2020-11-14 21:00:00,YFI/USD,17365.5,17365.5,17244.2,17285.3,0.23613,4081.577889
1605384000000,2020-11-14 20:00:00,YFI/USD,17378.16,17400.0,17358.9,17365.5,0.433772,7532.667666
1605380400000,2020-11-14 19:00:00,YFI/USD,17116.81,17430.51,17116.81,17378.16,0.203931,3543.94554696
1605376800000,2020-11-14 18:00:00,YFI/USD,17088.87,17148.22,17053.35,17116.81,0.56324081,9640.885929016102
1605373200000,2020-11-14 17:00:00,YFI/USD,16799.25,17110.14,16550.26,17088.87,0.725226,12393.29283462
1605369600000,2020-11-14 16:00:00,YFI/USD,16823.59,17238.48,16799.25,16799.25,0.629309,10571.919218250001
1605366000000,2020-11-14 15:00:00,YFI/USD,16974.91,16974.91,16791.35,16823.59,0.14143111,2379.3790078849
1605362400000,2020-11-14 14:00:00,YFI/USD,16840.61,17004.89,16840.61,16974.91,0.31141397,5286.2241134927
1605358800000,2020-11-14 13:00:00,YFI/USD,17030.11,17030.11,16840.61,16840.61,0.143095,2409.80708795
1605355200000,2020-11-14 12:00:00,YFI/USD,16645.5,17611.59,16645.5,17030.11,3.008097,51228.222800669995
1605351600000,2020-11-14 11:00:00,YFI/USD,16501.19,16645.5,16501.19,16645.5,0.000229,3.8118195000000004
1605348000000,2020-11-14 10:00:00,YFI/USD,16219.41,16504.94,16219.41,16501.19,0.387107,6387.726157329999
1605344400000,2020-11-14 09:00:00,YFI/USD,16687.57,16687.57,16174.68,16219.41,1.05406,17096.231304599998
1605340800000,2020-11-14 08:00:00,YFI/USD,16966.19,17131.98,16687.57,16687.57,0.080184,1338.07611288
1605337200000,2020-11-14 07:00:00,YFI/USD,17192.67,17192.67,16894.95,16966.19,1.159966,19680.203549539998
1605333600000,2020-11-14 06:00:00,YFI/USD,17020.0,17192.67,17020.0,17192.67,0.388137,6673.11135579
1605330000000,2020-11-14 05:00:00,YFI/USD,16879.87,17020.0,16850.64,17020.0,0.403772,6872.19944
1605326400000,2020-11-14 04:00:00,YFI/USD,17260.42,17260.42,16724.32,16879.87,0.835538,14103.77282006
1605322800000,2020-11-14 03:00:00,YFI/USD,17200.0,17462.86,17173.97,17260.42,1.22767,21190.0998214
1605319200000,2020-11-14 02:00:00,YFI/USD,17252.11,17377.16,17148.6,17200.0,0.289788,4984.3535999999995
1605315600000,2020-11-14 01:00:00,YFI/USD,17474.99,17474.99,17000.0,17252.11,0.359462,6201.47796482
