https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LINK,Volume USD
1688104800000,2023-06-30 06:00:00,LINK/USD,6.12008,6.1256,6.0861,6.1256,170.636743,1045.2524329208
1688101200000,2023-06-30 05:00:00,LINK/USD,6.18921,6.18921,6.11218,6.12008,211.807181,1296.27689229448
1688097600000,2023-06-30 04:00:00,LINK/USD,6.12,6.2,6.0804,6.18921,747.241985,4624.83756598185
1688094000000,2023-06-30 03:00:00,LINK/USD,6.01113,6.13352,6.01113,6.12,5149.117754,31512.60065448
1688090400000,2023-06-30 02:00:00,LINK/USD,5.88617,6.01541,5.88617,6.01113,9.129416,54.87810640008
1688086800000,2023-06-30 01:00:00,LINK/USD,5.8845,5.88669,5.85,5.88617,328.704169,1934.8086184427298
1688083200000,2023-06-30 00:00:00,LINK/USD,5.89295,5.92349,5.8845,5.8845,330.730945,1946.1862458525002
1688079600000,2023-06-29 23:00:00,LINK/USD,5.913,5.93768,5.87278,5.89295,638.1298,3760.46700491
1688076000000,2023-06-29 22:00:00,LINK/USD,5.90801,5.92103,5.89415,5.913,534.106392,3158.171095896
1688072400000,2023-06-29 21:00:00,LINK/USD,5.90496,5.91795,5.88147,5.90801,504.667311,2981.57952006111
1688068800000,2023-06-29 20:00:00,LINK/USD,5.93392,5.96363,5.85479,5.90496,1644.568338,9711.110253156481
1688065200000,2023-06-29 19:00:00,LINK/USD,5.94641,5.94941,5.89629,5.93392,498.056217,2955.42574718064
1688061600000,2023-06-29 18:00:00,LINK/USD,5.91743,5.94641,5.8998,5.94641,1212.97777,7212.8631413057
1688058000000,2023-06-29 17:00:00,LINK/USD,5.96092,5.96092,5.90524,5.91743,2607.471997,15429.53301920771
1688054400000,2023-06-29 16:00:00,LINK/USD,5.97592,6.04109,5.94427,5.96092,3161.072272,18842.89892761024
1688050800000,2023-06-29 15:00:00,LINK/USD,6.01075,6.05034,5.97592,5.97592,870.988962,5204.96035779504
1688047200000,2023-06-29 14:00:00,LINK/USD,6.05448,6.09535,6.01075,6.01075,1385.000837,8324.89378099775
1688043600000,2023-06-29 13:00:00,LINK/USD,6.18,6.18,6.05448,6.05448,542.8832,3286.8754767359997
1688040000000,2023-06-29 12:00:00,LINK/USD,6.13137,6.26634,6.13137,6.18,6803.17273,42043.6074714
1688036400000,2023-06-29 11:00:00,LINK/USD,5.98164,6.13137,5.98164,6.13137,1200.125635,7358.414314669951
1688032800000,2023-06-29 10:00:00,LINK/USD,5.9339,6.00204,5.91176,5.98164,368.862433,2206.40228373012
1688029200000,2023-06-29 09:00:00,LINK/USD,5.88813,5.94379,5.88813,5.9339,126.748471,752.1127520669
1688025600000,2023-06-29 08:00:00,LINK/USD,5.89436,5.93932,5.88548,5.88813,100.522713,591.89080209669
1688022000000,2023-06-29 07:00:00,LINK/USD,5.86766,5.90876,5.86766,5.89436,202.114348,1191.33472827728
1688018400000,2023-06-29 06:00:00,LINK/USD,5.87877,5.88039,5.85479,5.86766,152.126902,892.6289377893199
1688014800000,2023-06-29 05:00:00,LINK/USD,5.87991,5.88354,5.86282,5.87877,109.562057,644.09013382989
1688011200000,2023-06-29 04:00:00,LINK/USD,5.84173,5.88441,5.84173,5.87991,394.146822,2317.54784014602
1688007600000,2023-06-29 03:00:00,LINK/USD,5.83475,5.87474,5.82341,5.84173,522.55299,3052.6134782727004
1688004000000,2023-06-29 02:00:00,LINK/USD,5.84632,5.85598,5.8201,5.83475,222.774267,1299.83215437825
1688000400000,2023-06-29 01:00:00,LINK/USD,5.83222,5.91477,5.81571,5.84632,1186.485862,6936.57602472784
1687996800000,2023-06-29 00:00:00,LINK/USD,5.82281,5.8551,5.82281,5.83222,112.557426,656.45967106572
1687993200000,2023-06-28 23:00:00,LINK/USD,5.87541,5.88028,5.82281,5.82281,1044.724988,6083.235107376279
1687989600000,2023-06-28 22:00:00,LINK/USD,5.84443,5.89089,5.84443,5.87541,141.019495,828.54735111795
1687986000000,2023-06-28 21:00:00,LINK/USD,5.83209,5.86773,5.82064,5.84443,621.667305,3633.2910473611505
1687982400000,2023-06-28 20:00:00,LINK/USD,5.82604,5.84,5.78864,5.83209,2180.507474,12716.91583404066
1687978800000,2023-06-28 19:00:00,LINK/USD,5.90571,5.94921,5.73757,5.82604,2667.129028,15538.800402289118
1687975200000,2023-06-28 18:00:00,LINK/USD,5.96,5.97039,5.89775,5.90571,12262.722789,72420.0846022252
1687971600000,2023-06-28 17:00:00,LINK/USD,6.03,6.04317,5.96,5.96,1630.585968,9718.292369280001
1687968000000,2023-06-28 16:00:00,LINK/USD,6.05,6.07169,6.03,6.03,1679.798412,10129.18442436
1687964400000,2023-06-28 15:00:00,LINK/USD,6.03468,6.15657,6.03001,6.05,1925.730013,11650.66657865
1687960800000,2023-06-28 14:00:00,LINK/USD,6.00001,6.07988,6.00001,6.03468,1657.548388,10002.77410609584
1687957200000,2023-06-28 13:00:00,LINK/USD,6.02111,6.03512,5.96584,6.00001,1057.452232,6344.723966522321
1687953600000,2023-06-28 12:00:00,LINK/USD,6.01782,6.03383,6.01782,6.02111,76.883061,462.92136741771
1687950000000,2023-06-28 11:00:00,LINK/USD,6.05173,6.05574,6.01782,6.01782,72.25643,434.8261895826
1687946400000,2023-06-28 10:00:00,LINK/USD,6.06679,6.06679,6.03621,6.05173,9.095846,55.04560411358
1687942800000,2023-06-28 09:00:00,LINK/USD,6.06489,6.07332,6.04466,6.06679,8.287943,50.28120971297
1687939200000,2023-06-28 08:00:00,LINK/USD,6.09552,6.09552,5.99258,6.06489,279.257146,1693.66387220394
1687935600000,2023-06-28 07:00:00,LINK/USD,6.09552,6.15622,6.09552,6.09552,626.168482,3816.82250540064
1687932000000,2023-06-28 06:00:00,LINK/USD,6.16737,6.24888,6.09552,6.09552,34.987706,213.26826167712
1687928400000,2023-06-28 05:00:00,LINK/USD,6.09552,6.3753,6.09552,6.16737,363.893555,2244.26619430035
1687924800000,2023-06-28 04:00:00,LINK/USD,6.13704,6.20992,6.09552,6.09552,98.647319,601.3067059108799
1687921200000,2023-06-28 03:00:00,LINK/USD,6.09922,6.1975,6.09922,6.13704,261.529194,1605.01512474576
1687917600000,2023-06-28 02:00:00,LINK/USD,6.1428,6.16222,6.09657,6.09922,825.294121,5033.65040868562
1687914000000,2023-06-28 01:00:00,LINK/USD,6.16891,6.18033,6.13569,6.1428,403.331576,2477.5852050528
1687910400000,2023-06-28 00:00:00,LINK/USD,6.22209,6.22554,6.14444,6.16891,117.152246,722.7016618718601
