https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AAVE,Volume USD
1653379200000,2022-05-24 08:00:00,AAVE/USD,100.1921,100.6399,97.7417,98.3,67.42496,6627.873568
1653375600000,2022-05-24 07:00:00,AAVE/USD,99.6354,100.5722,98.8747,100.1921,4.589017,459.7832501657
1653372000000,2022-05-24 06:00:00,AAVE/USD,98.5813,100.0428,98.5813,99.6354,43.624965,4346.590837761
1653368400000,2022-05-24 05:00:00,AAVE/USD,99.0516,100.04,98.34,98.5813,9.91738,977.668212994
1653364800000,2022-05-24 04:00:00,AAVE/USD,98.2755,99.9034,97.913,99.0516,23.948719,2372.1589349004
1653361200000,2022-05-24 03:00:00,AAVE/USD,99.9031,100.2824,98.2755,98.2755,28.164967,2767.9262144085
1653357600000,2022-05-24 02:00:00,AAVE/USD,100.2736,102.2702,99.2896,99.9031,507.213566,50672.2076054546
1653354000000,2022-05-24 01:00:00,AAVE/USD,99.1844,100.2736,98.7451,100.2736,45.304661,4542.8614552496
1653350400000,2022-05-24 00:00:00,AAVE/USD,99.0225,100.482,98.3606,99.1844,285.358219,28303.0837365836
1653346800000,2022-05-23 23:00:00,AAVE/USD,98.5447,99.8349,96.9769,99.0225,32.737311,3241.7303784974997
1653343200000,2022-05-23 22:00:00,AAVE/USD,102.3891,102.3891,97.1775,98.5447,87.435224,8616.2779185128
1653339600000,2022-05-23 21:00:00,AAVE/USD,101.726,103.6151,101.193,102.3891,11.761683,1204.2681368552999
1653336000000,2022-05-23 20:00:00,AAVE/USD,101.3799,102.738,101.1712,101.726,263.300911,26784.548472386
1653332400000,2022-05-23 19:00:00,AAVE/USD,103.9462,103.9462,101.0381,101.3799,30.347939,3076.6710210261003
1653328800000,2022-05-23 18:00:00,AAVE/USD,105.255,106.279,103.5861,103.9462,91.7058,9532.46942796
1653325200000,2022-05-23 17:00:00,AAVE/USD,104.9573,105.6505,103.1384,105.255,180.785993,19028.629693215
1653321600000,2022-05-23 16:00:00,AAVE/USD,106.6256,109.5611,104.7001,104.9573,260.110311,27300.475944720303
1653318000000,2022-05-23 15:00:00,AAVE/USD,103.407,106.6256,103.407,106.6256,325.181179,34672.6383195824
1653314400000,2022-05-23 14:00:00,AAVE/USD,103.681,104.3678,102.4678,103.407,113.880314,11776.021629797999
1653310800000,2022-05-23 13:00:00,AAVE/USD,102.7969,105.0,102.2328,103.681,280.976606,29131.935486686
1653307200000,2022-05-23 12:00:00,AAVE/USD,103.6969,104.5195,102.7969,102.7969,44.251853,4548.953307655699
1653303600000,2022-05-23 11:00:00,AAVE/USD,103.2072,103.8398,102.9081,103.6969,10.726386,1112.2929764034
1653300000000,2022-05-23 10:00:00,AAVE/USD,103.4952,103.7084,102.5691,103.2072,33.748263,3483.0637290936
1653296400000,2022-05-23 09:00:00,AAVE/USD,101.3073,105.6846,100.0727,103.4952,73.357648,7592.164451289599
1653292800000,2022-05-23 08:00:00,AAVE/USD,100.6369,101.8078,100.438,101.3073,5.912741,599.0038263092999
1653289200000,2022-05-23 07:00:00,AAVE/USD,97.8758,100.8571,97.8758,100.6369,197.988973,19924.9964769037
1653285600000,2022-05-23 06:00:00,AAVE/USD,95.6651,98.496,95.6651,97.8758,13.455496,1316.9674353968
1653282000000,2022-05-23 05:00:00,AAVE/USD,93.8887,95.6789,93.8887,95.6651,476.354741,45570.5239332391
1653278400000,2022-05-23 04:00:00,AAVE/USD,92.7856,94.9822,92.7856,93.8887,568.241812,53351.4850143244
1653274800000,2022-05-23 03:00:00,AAVE/USD,92.7897,93.317,92.5029,92.7856,9.164891,850.3699103696001
1653271200000,2022-05-23 02:00:00,AAVE/USD,93.2037,93.2037,91.9672,92.7897,4.15476,385.51893397199996
1653267600000,2022-05-23 01:00:00,AAVE/USD,94.7439,94.7439,92.6957,93.2037,34.646175,3229.1517008475
1653264000000,2022-05-23 00:00:00,AAVE/USD,94.3269,95.5857,93.6521,94.7439,371.043679,35154.1252188081
1653260400000,2022-05-22 23:00:00,AAVE/USD,93.7157,94.9166,93.7157,94.3269,4.669943,440.50124636669995
1653256800000,2022-05-22 22:00:00,AAVE/USD,92.2285,94.5003,92.2285,93.7157,61.136539,5729.4535479623
1653253200000,2022-05-22 21:00:00,AAVE/USD,91.6434,92.399,91.5899,92.2285,9.318941,859.4719500185
1653249600000,2022-05-22 20:00:00,AAVE/USD,91.907,92.7058,91.447,91.6434,32.963695,3020.905086363
1653246000000,2022-05-22 19:00:00,AAVE/USD,91.8974,92.2675,91.4471,91.907,23.548997,2164.317667279
1653242400000,2022-05-22 18:00:00,AAVE/USD,91.5108,92.0204,90.557,91.8974,478.82001,44002.313986974004
1653238800000,2022-05-22 17:00:00,AAVE/USD,91.7666,93.1101,91.3291,91.5108,382.05856,34962.484472448
1653235200000,2022-05-22 16:00:00,AAVE/USD,91.7773,92.0525,90.7101,91.7666,81.637832,7491.6262740112
1653231600000,2022-05-22 15:00:00,AAVE/USD,92.5631,92.9368,90.9515,91.7773,16.531039,1517.1741256147
1653228000000,2022-05-22 14:00:00,AAVE/USD,93.4494,94.2571,92.5631,92.5631,21.936722,2030.5309921582
1653224400000,2022-05-22 13:00:00,AAVE/USD,95.0453,95.0453,93.2414,93.4494,60.65717,5668.376142198
1653220800000,2022-05-22 12:00:00,AAVE/USD,93.7976,95.2814,93.7976,95.0453,2.608643,247.93925652789997
1653217200000,2022-05-22 11:00:00,AAVE/USD,95.3781,95.4004,93.6479,93.7976,1.873026,175.6853435376
1653213600000,2022-05-22 10:00:00,AAVE/USD,96.0647,96.5557,95.3781,95.3781,3.934279,375.24405588990004
1653210000000,2022-05-22 09:00:00,AAVE/USD,94.6861,96.2464,94.3577,96.0647,1.59739,153.452791133
1653206400000,2022-05-22 08:00:00,AAVE/USD,93.3941,95.0,93.3941,94.6861,2.279419,215.8292953759
1653202800000,2022-05-22 07:00:00,AAVE/USD,92.3569,93.437,92.2356,93.3941,375.551573,35074.3011639193
1653199200000,2022-05-22 06:00:00,AAVE/USD,91.3809,93.437,91.3809,92.3569,76.865584,7099.067054929599
