https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LRC,Volume USD
1703952000000,2023-12-30 16:00:00,LRC/USD,0.32672,0.33,0.3199,0.3199,13145.434688,4205.2245566912
1703948400000,2023-12-30 15:00:00,LRC/USD,0.323,0.3287,0.31853,0.32672,3226.01299,1054.0029640928
1703944800000,2023-12-30 14:00:00,LRC/USD,0.31905,0.32963,0.31905,0.323,31381.194684,10136.125882932
1703941200000,2023-12-30 13:00:00,LRC/USD,0.31906,0.31906,0.31339,0.31905,4023.64614,1283.7443009669998
1703937600000,2023-12-30 12:00:00,LRC/USD,0.31443,0.31906,0.31443,0.31906,224.561075,71.6484565895
1703934000000,2023-12-30 11:00:00,LRC/USD,0.31443,0.31443,0.31443,0.31443,0.0,0.0
1703930400000,2023-12-30 10:00:00,LRC/USD,0.31443,0.31443,0.31443,0.31443,0.0,0.0
1703926800000,2023-12-30 09:00:00,LRC/USD,0.30918,0.31443,0.30853,0.31443,1480.774713,465.59999300859
1703923200000,2023-12-30 08:00:00,LRC/USD,0.31495,0.31901,0.30918,0.30918,706.233495,218.3532719841
1703919600000,2023-12-30 07:00:00,LRC/USD,0.32175,0.32175,0.31495,0.31495,1211.113256,381.4401199772
1703916000000,2023-12-30 06:00:00,LRC/USD,0.32899,0.33864,0.32175,0.32175,2226.85499,716.4905930324999
1703912400000,2023-12-30 05:00:00,LRC/USD,0.33,0.33863,0.32899,0.32899,536.392039,176.46761691061
1703908800000,2023-12-30 04:00:00,LRC/USD,0.33001,0.33181,0.33,0.33,2860.872253,944.0878434900001
1703905200000,2023-12-30 03:00:00,LRC/USD,0.33486,0.33486,0.33001,0.33001,3746.021356,1236.22450769356
1703901600000,2023-12-30 02:00:00,LRC/USD,0.34334,0.3437,0.33486,0.33486,7190.939344,2407.95794873184
1703898000000,2023-12-30 01:00:00,LRC/USD,0.34335,0.34335,0.33447,0.34334,1197.554559,411.16838228705996
1703894400000,2023-12-30 00:00:00,LRC/USD,0.33863,0.34335,0.33306,0.34335,1736.546835,596.24335579725
1703890800000,2023-12-29 23:00:00,LRC/USD,0.33352,0.34,0.33233,0.33863,1948.434823,659.79848411249
1703887200000,2023-12-29 22:00:00,LRC/USD,0.34066,0.34081,0.31784,0.33352,45919.523757,15315.07956343464
1703883600000,2023-12-29 21:00:00,LRC/USD,0.33375,0.34066,0.33375,0.34066,572.216283,194.93119896678002
1703880000000,2023-12-29 20:00:00,LRC/USD,0.34,0.34,0.33375,0.33375,7834.321648,2614.70485002
1703876400000,2023-12-29 19:00:00,LRC/USD,0.34,0.34,0.34,0.34,0.0,0.0
1703872800000,2023-12-29 18:00:00,LRC/USD,0.34,0.3409,0.33359,0.34,6248.543966,2124.50494844
1703869200000,2023-12-29 17:00:00,LRC/USD,0.33376,0.34,0.333,0.34,43350.988349,14739.336038660002
