https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume MANA,Volume USD
1647946800000,2022-03-22 11:00:00,MANA/USD,2.47254,2.47825,2.46437,2.47693,6196.255499,15347.691133138069
1647943200000,2022-03-22 10:00:00,MANA/USD,2.46803,2.47427,2.46305,2.47254,752.871299,1861.50440162946
1647939600000,2022-03-22 09:00:00,MANA/USD,2.472,2.472,2.45539,2.46803,1405.1794,3468.0249145820003
1647936000000,2022-03-22 08:00:00,MANA/USD,2.4588,2.47547,2.45469,2.472,968.597583,2394.373225176
1647932400000,2022-03-22 07:00:00,MANA/USD,2.43865,2.45976,2.43865,2.4588,1689.6246,4154.44896648
1647928800000,2022-03-22 06:00:00,MANA/USD,2.46834,2.46834,2.43632,2.43865,3172.529227,7736.6883994235495
1647925200000,2022-03-22 05:00:00,MANA/USD,2.47191,2.4788,2.46398,2.46834,3047.815622,7523.04521240748
1647921600000,2022-03-22 04:00:00,MANA/USD,2.45717,2.49056,2.45717,2.47191,3401.339958,8407.806255579779
1647918000000,2022-03-22 03:00:00,MANA/USD,2.44342,2.47067,2.44342,2.45717,3325.141911,8170.438949451871
1647914400000,2022-03-22 02:00:00,MANA/USD,2.41842,2.45672,2.41797,2.44342,9057.313899,22130.821927094585
1647910800000,2022-03-22 01:00:00,MANA/USD,2.40744,2.41902,2.4,2.41842,6761.406318,16351.92026757756
1647907200000,2022-03-22 00:00:00,MANA/USD,2.40791,2.4084,2.391,2.40744,699.593338,1684.22898563472
1647903600000,2022-03-21 23:00:00,MANA/USD,2.41111,2.41394,2.39785,2.40791,1052.398781,2534.0815487577106
1647900000000,2022-03-21 22:00:00,MANA/USD,2.41507,2.42547,2.40977,2.41111,3523.786797,8496.23758411467
1647896400000,2022-03-21 21:00:00,MANA/USD,2.41122,2.41825,2.40826,2.41507,5209.080588,12580.29425566116
1647892800000,2022-03-21 20:00:00,MANA/USD,2.41826,2.41826,2.40912,2.41122,3881.943535,9360.2198904627
1647889200000,2022-03-21 19:00:00,MANA/USD,2.40916,2.419,2.40414,2.41826,3016.890787,7295.62631457062
1647885600000,2022-03-21 18:00:00,MANA/USD,2.4127,2.4221,2.39617,2.40916,6829.055788,16452.28804221808
1647882000000,2022-03-21 17:00:00,MANA/USD,2.38471,2.4127,2.37981,2.4127,10816.149966,26096.125022968205
1647878400000,2022-03-21 16:00:00,MANA/USD,2.43141,2.43623,2.38471,2.38471,2548.821755,6078.20072736605
1647874800000,2022-03-21 15:00:00,MANA/USD,2.42222,2.43141,2.41339,2.43141,811.661066,1973.48083248306
1647871200000,2022-03-21 14:00:00,MANA/USD,2.42334,2.43115,2.40505,2.42222,5518.653812,13367.393636502638
1647867600000,2022-03-21 13:00:00,MANA/USD,2.42499,2.47024,2.42208,2.42334,45217.804888,109578.11529728591
1647864000000,2022-03-21 12:00:00,MANA/USD,2.43139,2.43881,2.40895,2.42499,1874.973076,4546.79095956924
1647860400000,2022-03-21 11:00:00,MANA/USD,2.43607,2.44508,2.43139,2.43139,3173.980454,7717.18433605106
1647856800000,2022-03-21 10:00:00,MANA/USD,2.44168,2.44742,2.4328,2.43607,558.796155,1361.26654931085
1647853200000,2022-03-21 09:00:00,MANA/USD,2.41983,2.44168,2.41821,2.44168,2573.022856,6282.49844703808
1647849600000,2022-03-21 08:00:00,MANA/USD,2.42318,2.43162,2.41983,2.41983,2806.339645,6790.86486316035
1647846000000,2022-03-21 07:00:00,MANA/USD,2.39982,2.42318,2.39593,2.42318,664.913597,1611.20532997846
1647842400000,2022-03-21 06:00:00,MANA/USD,2.39989,2.41462,2.39982,2.39982,5206.868533,12495.54724286406
1647838800000,2022-03-21 05:00:00,MANA/USD,2.38366,2.4,2.38366,2.39989,7807.812085,18737.89014467065
1647835200000,2022-03-21 04:00:00,MANA/USD,2.37913,2.38367,2.37271,2.38366,1194.28515,2846.7697406489997
1647831600000,2022-03-21 03:00:00,MANA/USD,2.37432,2.38317,2.37024,2.37913,2795.065555,6649.8243138671505
1647828000000,2022-03-21 02:00:00,MANA/USD,2.38632,2.39691,2.35665,2.37432,2582.611957,6131.94722174424
1647824400000,2022-03-21 01:00:00,MANA/USD,2.40415,2.4127,2.38402,2.38632,9860.569536,23530.474295147524
1647820800000,2022-03-21 00:00:00,MANA/USD,2.39778,2.41114,2.38639,2.40415,2013.391682,4840.4956122803
1647817200000,2022-03-20 23:00:00,MANA/USD,2.41007,2.41412,2.39702,2.39778,1828.61073,4384.6062361794
1647813600000,2022-03-20 22:00:00,MANA/USD,2.4091,2.41269,2.39319,2.41007,2306.680902,5559.262441483141
1647810000000,2022-03-20 21:00:00,MANA/USD,2.39705,2.4127,2.39512,2.4091,1716.778675,4135.8915059425
1647806400000,2022-03-20 20:00:00,MANA/USD,2.411,2.42547,2.39705,2.39705,120459.215688,288746.76296492043
1647802800000,2022-03-20 19:00:00,MANA/USD,2.39615,2.415,2.39615,2.411,1875.888623,4522.767470053001
1647799200000,2022-03-20 18:00:00,MANA/USD,2.38342,2.40096,2.38118,2.39615,3091.900257,7408.65680081055
1647795600000,2022-03-20 17:00:00,MANA/USD,2.4008,2.40925,2.37551,2.38342,20330.969729,48457.239871493184
1647792000000,2022-03-20 16:00:00,MANA/USD,2.40867,2.42,2.391,2.4008,49063.276815,117791.11497745199
1647788400000,2022-03-20 15:00:00,MANA/USD,2.4079,2.42217,2.4,2.40867,63045.01607,151854.63885732688
1647784800000,2022-03-20 14:00:00,MANA/USD,2.42298,2.436,2.4079,2.4079,6028.43583,14515.870635057001
1647781200000,2022-03-20 13:00:00,MANA/USD,2.42756,2.43231,2.4198,2.42298,904.796531,2192.30389868238
1647777600000,2022-03-20 12:00:00,MANA/USD,2.42845,2.43244,2.4079,2.42756,1395.090437,3386.6657412437203
1647774000000,2022-03-20 11:00:00,MANA/USD,2.45078,2.45574,2.42845,2.42845,622.629951,1512.0257045059502
1647770400000,2022-03-20 10:00:00,MANA/USD,2.45069,2.4582,2.44176,2.45078,922.781001,2261.5332216307797
1647766800000,2022-03-20 09:00:00,MANA/USD,2.46982,2.46982,2.42737,2.45069,7190.06644,17620.6239238436
1647763200000,2022-03-20 08:00:00,MANA/USD,2.48123,2.48209,2.46823,2.46982,1283.294825,3169.5072246815
1647759600000,2022-03-20 07:00:00,MANA/USD,2.48327,2.48509,2.48113,2.48123,8.589469,21.31244816687
1647756000000,2022-03-20 06:00:00,MANA/USD,2.46896,2.48513,2.46896,2.48327,1322.350694,3283.75380788938
1647752400000,2022-03-20 05:00:00,MANA/USD,2.45541,2.46896,2.45179,2.46896,4191.764328,10349.29845525888
1647748800000,2022-03-20 04:00:00,MANA/USD,2.46401,2.46998,2.45456,2.45541,2371.28046,5822.4657542886
1647745200000,2022-03-20 03:00:00,MANA/USD,2.46087,2.46963,2.45944,2.46401,1678.808612,4136.60120805412
1647741600000,2022-03-20 02:00:00,MANA/USD,2.47205,2.47728,2.44886,2.46087,2134.744783,5253.32939414121
1647738000000,2022-03-20 01:00:00,MANA/USD,2.47501,2.48048,2.44739,2.47205,3060.721174,7566.255778186699
1647734400000,2022-03-20 00:00:00,MANA/USD,2.50654,2.51083,2.44026,2.47501,19283.17509,47726.05117950091
1647730800000,2022-03-19 23:00:00,MANA/USD,2.49751,2.51406,2.48844,2.50654,4602.540737,11536.452458919981
1647727200000,2022-03-19 22:00:00,MANA/USD,2.52886,2.52886,2.47498,2.49751,7792.3973,19461.590180723
1647723600000,2022-03-19 21:00:00,MANA/USD,2.52117,2.53281,2.51453,2.52886,2417.739021,6114.123500646059
1647720000000,2022-03-19 20:00:00,MANA/USD,2.52864,2.5323,2.50421,2.52117,5475.834957,13805.510818539691
1647716400000,2022-03-19 19:00:00,MANA/USD,2.54951,2.55003,2.52553,2.52864,4250.763574,10748.65080375936
1647712800000,2022-03-19 18:00:00,MANA/USD,2.53649,2.55347,2.53098,2.54951,3106.180724,7919.2388176452405
1647709200000,2022-03-19 17:00:00,MANA/USD,2.54242,2.54288,2.51934,2.53649,6944.359917,17614.299485871332
1647705600000,2022-03-19 16:00:00,MANA/USD,2.51259,2.55708,2.4919,2.54242,41182.427633,104703.02766269185
1647702000000,2022-03-19 15:00:00,MANA/USD,2.52168,2.52168,2.50063,2.51259,42030.551974,105605.54458435265
1647698400000,2022-03-19 14:00:00,MANA/USD,2.48772,2.52595,2.47859,2.52168,5602.202609,14126.962275063119
1647694800000,2022-03-19 13:00:00,MANA/USD,2.51006,2.52645,2.47962,2.48772,5841.200888,14531.272273095361
1647691200000,2022-03-19 12:00:00,MANA/USD,2.4908,2.51669,2.48993,2.51006,4757.361676,11941.263248460562
1647687600000,2022-03-19 11:00:00,MANA/USD,2.46365,2.50293,2.46365,2.4908,14025.432368,34934.5469422144
1647684000000,2022-03-19 10:00:00,MANA/USD,2.46028,2.46845,2.46028,2.46365,4135.587496,10188.6401345204
1647680400000,2022-03-19 09:00:00,MANA/USD,2.45258,2.46326,2.45249,2.46028,2471.813676,6081.353750789281
1647676800000,2022-03-19 08:00:00,MANA/USD,2.43783,2.45258,2.43783,2.45258,2646.920127,6491.78336507766
1647673200000,2022-03-19 07:00:00,MANA/USD,2.44316,2.44835,2.43772,2.43783,6545.575371,15957.00000668493
